공원별(1),2017,2018,2019
총계,50398280,46824817,43184247
지리산,3067190,3308833,3005498
경주,2948636,2887634,2999547
계룡산,1721735,1817602,1949660
한려해상,7157772,6439653,6328709
오동도,3120325,3000678,2908368
설악산,3693991,3241484,2868098
속리산,1349381,1244854,1285804
한라산,1001437,891817,848279
내장산,2102467,1948616,1907905
가야산,860181,672901,654682
덕유산,1731939,1501306,1222691
오대산,1510658,1399119,1360966
주왕산,1312445,1155063,1064590
태안해안,1059775,1049974,1014462
다도해해상,2338866,1987762,2260407
북한산,5955251,5518508,5574539
치악산,670880,738368,759346
월악산,1055621,1014793,1000518
소백산,1224129,1193986,1158325
변산반도,1897231,1579089,1594351
월출산,508118,408930,493538
무등산,3513576,3143779,3155903
태백산,596676,680068,676429
